"generator" "L" "R" "n" "h" "run" "nsols"
"wcorr" 1 50 450 10 11 165
"uncorr" 1 50 200 2 22 1
"wcorr" 1 50 450 11 11 3
"wcorr" 1 50 450 1 12 80083
"wcorr" 1 50 450 2 12 289876
"wcorr" 1 50 450 3 12 34950
"wcorr" 1 50 450 4 12 3652
"wcorr" 1 50 450 5 12 55001
"wcorr" 1 50 450 6 12 3806646107326346
"wcorr" 1 50 450 7 12 6094
"wcorr" 1 50 450 8 12 1
"wcorr" 1 50 450 9 12 1795
"uncorr" 1 50 200 3 22 2
"wcorr" 1 50 450 10 12 26
"wcorr" 1 50 450 11 12 11786
"wcorr" 1 50 450 1 13 78
"wcorr" 1 50 450 2 13 615
"wcorr" 1 50 450 3 13 34
"wcorr" 1 50 450 4 13 20
"wcorr" 1 50 450 5 13 9543
"wcorr" 1 50 450 6 13 10194
"wcorr" 1 50 450 7 13 53612
"wcorr" 1 50 450 8 13 963
"uncorr" 1 50 200 4 22 2
"wcorr" 1 50 450 9 13 4311
"wcorr" 1 50 450 10 13 2
"wcorr" 1 50 450 11 13 222
"wcorr" 1 50 450 1 14 94
"wcorr" 1 50 450 2 14 39122
"wcorr" 1 50 450 3 14 161760
"wcorr" 1 50 450 4 14 1630599
"wcorr" 1 50 450 5 14 35694
"wcorr" 1 50 450 6 14 2601233533
"wcorr" 1 50 450 7 14 156
"uncorr" 1 50 50 8 10 1
"uncorr" 1 50 200 5 22 3
"wcorr" 1 50 450 8 14 434986
"wcorr" 1 50 450 9 14 11420
"wcorr" 1 50 450 10 14 3
"wcorr" 1 50 450 11 14 106
"wcorr" 1 50 450 1 15 29975
"wcorr" 1 50 450 2 15 745
"wcorr" 1 50 450 3 15 3687
"wcorr" 1 50 450 4 15 71587
"wcorr" 1 50 450 5 15 7599
"wcorr" 1 50 450 6 15 30845842939
"uncorr" 1 50 200 6 22 1
"wcorr" 1 50 450 7 15 15827832
"wcorr" 1 50 450 8 15 2188531
"wcorr" 1 50 450 9 15 46
"wcorr" 1 50 450 10 15 84428
"wcorr" 1 50 450 11 15 20
"wcorr" 1 50 450 1 16 3815
"wcorr" 1 50 450 2 16 241622
"wcorr" 1 50 450 3 16 18846
"wcorr" 1 50 450 4 16 9244
"wcorr" 1 50 450 5 16 26208
"uncorr" 1 50 200 7 22 8
"wcorr" 1 50 450 6 16 16480775773
"wcorr" 1 50 450 7 16 202
"wcorr" 1 50 450 8 16 179315
"wcorr" 1 50 450 9 16 7818
"wcorr" 1 50 450 10 16 113053
"wcorr" 1 50 450 11 16 20404
"wcorr" 1 50 450 1 17 2061
"wcorr" 1 50 450 2 17 1243
"wcorr" 1 50 450 3 17 3403
"wcorr" 1 50 450 4 17 1
"uncorr" 1 50 200 8 22 3
